2026-04-11
,,,,,,,,,,,,,,,,,,,,,,,
PoleId,ParkingSpaceId,Region,Region_tc,Region_sc,District,District_tc,District_sc,SubDistrict,SubDistrict_tc,SubDistrict_sc,Street,Street_tc,Street_sc,SectionOfStreet,SectionOfStreet_tc,SectionOfStreet_sc,Latitude,Longitude,VehicleType,LPP,OperatingPeriod,TimeUnit,PaymentUnit
1,1A,HONG KONG,香港島,香港岛,SOUTHERN,南區,南区,BAYS AREAS,海灣,海湾,ISLAND ROAD,香島道,香岛道,THE HONG KONG GOLF CLUB,香港哥爾夫球會,香港哥尔夫球会,22.2459056,114.1862428,A,30,D,15,4.00
1,1B,HONG KONG,香港島,香港岛,SOUTHERN,南區,南区,BAYS AREAS,海灣,海湾,ISLAND ROAD,香島道,香岛道,THE HONG KONG GOLF CLUB,香港哥爾夫球會,香港哥尔夫球会,22.2459185,114.1862223,A,30,D,15,4.00
10,10B,HONG KONG,香港島,香港岛,SOUTHERN,南區,南区,BAYS AREAS,海灣,海湾,ISLAND ROAD,香島道,香岛道,DEEP WATER BAY,深水灣,深水湾,22.24542504185153,114.1868739836973,A,120,D,15,4.00
100,100A,HONG KONG,香港島,香港岛,SOUTHERN,南區,南区,BAYS AREAS,海灣,海湾,SOUTH BAY ROAD,南灣道,南湾道,SOUTH BAY BEACH,南灣,南湾,22.22444013739444,114.198048889817,A,120,D,15,4.00
100,100B,HONG KONG,香港島,香港岛,SOUTHERN,南區,南区,BAYS AREAS,海灣,海湾,SOUTH BAY ROAD,南灣道,南湾道,SOUTH BAY BEACH,南灣,南湾,22.22442729717995,114.1980309235906,A,120,D,15,4.00
10006,10006A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG SOUTH,南昌南,南昌南,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.3296353122166,114.1600389490289,A,60,D,15,4.00
10006,10006B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG SOUTH,南昌南,南昌南,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.3296080769379,114.1600743932991,A,60,D,15,4.00
10007,10007A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG SOUTH,南昌南,南昌南,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.32970196627198,114.1599541891062,A,60,D,15,4.00
10007,10007B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG SOUTH,南昌南,南昌南,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.32967329801874,114.1599911750024,A,60,D,15,4.00
10008,10008A,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG SOUTH,南昌南,南昌南,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.32976790301229,114.1598671180279,A,60,D,15,4.00
10008,10008B,KOWLOON,九龍,九龙,SHAM SHUI PO,深水埗,深水埗,NAM CHEONG SOUTH,南昌南,南昌南,TAI NAN STREET,大南街,大南街,KWEILIN STREET,桂林街,桂林街,22.32973923477918,114.1599041039592,A,60,D,15,4.00
