label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
88廣場,88廣場,majorDestination,88廣場,,,,,,1,true
9號大樓,9號大樓,majorDestination,9號大樓,,,,,,1,true
Administration Building,Administration Building,majorDestination,Administration Building,,,,,,1,true
AEON九龍城店-綜合百貨,AEON九龍城店-綜合百貨,majorDestination,AEON九龍城店-綜合百貨,,,,,,1,true
AKVO HOTEL,AKVO HOTEL,majorDestination,AKVO HOTEL,,,,,,1,true
AMERSHAM ESTATE,AMERSHAM ESTATE,majorDestination,AMERSHAM ESTATE,,,,,,1,true
CARMEL SCHOOL,CARMEL SCHOOL,majorDestination,CARMEL SCHOOL,,,,,,1,true
CHARTER CLUB,CHARTER CLUB,majorDestination,CHARTER CLUB,,,,,,1,true
City super-啟德 – AIRSIDE,City super-啟德 – AIRSIDE,majorDestination,City super-啟德 – AIRSIDE,,,,,,1,true
CLUB 8,CLUB 8,majorDestination,CLUB 8,,,,,,1,true
CLUB 88,CLUB 88,majorDestination,CLUB 88,,,,,,1,true
CLUB ARIA,CLUB ARIA,majorDestination,CLUB ARIA,,,,,,1,true
CLUB ARNO,CLUB ARNO,majorDestination,CLUB ARNO,,,,,,1,true
CLUB BLOSSOM,CLUB BLOSSOM,majorDestination,CLUB BLOSSOM,,,,,,1,true
CLUB BRIO,CLUB BRIO,majorDestination,CLUB BRIO,,,,,,1,true
CLUB DRAGONS,CLUB DRAGONS,majorDestination,CLUB DRAGONS,,,,,,1,true
CLUB EPIC,CLUB EPIC,majorDestination,CLUB EPIC,,,,,,1,true
CLUB ESPLANADA,CLUB ESPLANADA,majorDestination,CLUB ESPLANADA,,,,,,1,true
CLUB GARDA,CLUB GARDA,majorDestination,CLUB GARDA,,,,,,1,true
CLUB INDIGO,CLUB INDIGO,majorDestination,CLUB INDIGO,,,,,,1,true
CLUB INNOVALE,CLUB INNOVALE,majorDestination,CLUB INNOVALE,,,,,,1,true
CLUB KOKO,CLUB KOKO,majorDestination,CLUB KOKO,,,,,,1,true
CLUB LE PONT,CLUB LE PONT,majorDestination,CLUB LE PONT,,,,,,1,true
CLUB LORIENT,CLUB LORIENT,majorDestination,CLUB LORIENT,,,,,,1,true
CLUB MARINELLA,CLUB MARINELLA,majorDestination,CLUB MARINELLA,,,,,,1,true
CLUB MAX,CLUB MAX,majorDestination,CLUB MAX,,,,,,1,true
CLUB MICHEL,CLUB MICHEL,majorDestination,CLUB MICHEL,,,,,,1,true
CLUB ORLOV,CLUB ORLOV,majorDestination,CLUB ORLOV,,,,,,1,true
CLUB PACIFIC,CLUB PACIFIC,majorDestination,CLUB PACIFIC,,,,,,1,true
CLUB SEASONS,CLUB SEASONS,majorDestination,CLUB SEASONS,,,,,,1,true
CLUB SEASONS BY THE BAY,CLUB SEASONS BY THE BAY,majorDestination,CLUB SEASONS BY THE BAY,,,,,,1,true
CLUB SIENA,CLUB SIENA,majorDestination,CLUB SIENA,,,,,,1,true
CoCo 草本養髮中心,CoCo 草本養髮中心,majorDestination,CoCo 草本養髮中心,,,,,,1,true
Cullinan Harbour Mansion 1,Cullinan Harbour Mansion 1,majorDestination,Cullinan Harbour Mansion 1,,,,,,1,true
Cullinan Harbour Mansion 2,Cullinan Harbour Mansion 2,majorDestination,Cullinan Harbour Mansion 2,,,,,,1,true
CY閘大樓,CY閘大樓,majorDestination,CY閘大樓,,,,,,1,true
Deerhill Bay 1,Deerhill Bay 1,majorDestination,Deerhill Bay 1,,,,,,1,true
Deerhill Bay 10,Deerhill Bay 10,majorDestination,Deerhill Bay 10,,,,,,1,true
Deerhill Bay 11,Deerhill Bay 11,majorDestination,Deerhill Bay 11,,,,,,1,true
