label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
88廣場,88廣場,majorDestination,88廣場,,,,,,1,true
9,9,majorDestination,9,,,,,,1,true
9座,9座,majorDestination,9座,,,,,,1,true
9號大樓,9號大樓,majorDestination,9號大樓,,,,,,1,true
9號幹線,9號幹線,majorDestination,9號幹線,,,,,,1,true
Administration Building,Administration Building,majorDestination,Administration Building,,,,,,1,true
AEON九龍城店-綜合百貨,AEON九龍城店-綜合百貨,majorDestination,AEON九龍城店-綜合百貨,,,,,,1,true
AKVO HOTEL,AKVO HOTEL,majorDestination,AKVO HOTEL,,,,,,1,true
AMERSHAM ESTATE,AMERSHAM ESTATE,majorDestination,AMERSHAM ESTATE,,,,,,1,true
CARMEL SCHOOL,CARMEL SCHOOL,majorDestination,CARMEL SCHOOL,,,,,,1,true
CHARTER CLUB,CHARTER CLUB,majorDestination,CHARTER CLUB,,,,,,1,true
City super-啟德 – AIRSIDE,City super-啟德 – AIRSIDE,majorDestination,City super-啟德 – AIRSIDE,,,,,,1,true
CLUB 8,CLUB 8,majorDestination,CLUB 8,,,,,,1,true
CLUB 88,CLUB 88,majorDestination,CLUB 88,,,,,,1,true
CLUB ARIA,CLUB ARIA,majorDestination,CLUB ARIA,,,,,,1,true
CLUB ARNO,CLUB ARNO,majorDestination,CLUB ARNO,,,,,,1,true
CLUB BLOSSOM,CLUB BLOSSOM,majorDestination,CLUB BLOSSOM,,,,,,1,true
CLUB BRIO,CLUB BRIO,majorDestination,CLUB BRIO,,,,,,1,true
CLUB DRAGONS,CLUB DRAGONS,majorDestination,CLUB DRAGONS,,,,,,1,true
CLUB EPIC,CLUB EPIC,majorDestination,CLUB EPIC,,,,,,1,true
CLUB ESPLANADA,CLUB ESPLANADA,majorDestination,CLUB ESPLANADA,,,,,,1,true
CLUB GARDA,CLUB GARDA,majorDestination,CLUB GARDA,,,,,,1,true
CLUB INDIGO,CLUB INDIGO,majorDestination,CLUB INDIGO,,,,,,1,true
CLUB INNOVALE,CLUB INNOVALE,majorDestination,CLUB INNOVALE,,,,,,1,true
CLUB KOKO,CLUB KOKO,majorDestination,CLUB KOKO,,,,,,1,true
CLUB LE PONT,CLUB LE PONT,majorDestination,CLUB LE PONT,,,,,,1,true
CLUB LORIENT,CLUB LORIENT,majorDestination,CLUB LORIENT,,,,,,1,true
CLUB MARINELLA,CLUB MARINELLA,majorDestination,CLUB MARINELLA,,,,,,1,true
CLUB MAX,CLUB MAX,majorDestination,CLUB MAX,,,,,,1,true
CLUB MICHEL,CLUB MICHEL,majorDestination,CLUB MICHEL,,,,,,1,true
CLUB ORLOV,CLUB ORLOV,majorDestination,CLUB ORLOV,,,,,,1,true
CLUB PACIFIC,CLUB PACIFIC,majorDestination,CLUB PACIFIC,,,,,,1,true
CLUB SEASONS,CLUB SEASONS,majorDestination,CLUB SEASONS,,,,,,1,true
CLUB SIENA,CLUB SIENA,majorDestination,CLUB SIENA,,,,,,1,true
CoCo 草本養髮中心,CoCo 草本養髮中心,majorDestination,CoCo 草本養髮中心,,,,,,1,true
Cullinan Harbour Mansion 1,Cullinan Harbour Mansion 1,majorDestination,Cullinan Harbour Mansion 1,,,,,,1,true
Cullinan Harbour Mansion 2,Cullinan Harbour Mansion 2,majorDestination,Cullinan Harbour Mansion 2,,,,,,1,true
DEVIL CLUB,DEVIL CLUB,majorDestination,DEVIL CLUB,,,,,,1,true
Discovery Montessori Academy (K600814A),Discovery Montessori Academy (K600814A),majorDestination,Discovery Montessori Academy (K600814A),,,,,,1,true
E 酒店,E 酒店,majorDestination,E 酒店,,,,,,1,true
Eight College,Eight College,majorDestination,Eight College,,,,,,1,true
Estate Management Office,Estate Management Office,majorDestination,Estate Management Office,,,,,,1,true
"FUSION 杏花新城, 杏花邨","FUSION 杏花新城, 杏花邨",majorDestination,"FUSION 杏花新城, 杏花邨",,,,,,1,true
GASTRONOMY CLUB,GASTRONOMY CLUB,majorDestination,GASTRONOMY CLUB,,,,,,1,true
Global Gateway Tower停車場,Global Gateway Tower停車場,majorDestination,Global Gateway Tower停車場,,,,,,1,true
Grand Yoho 第9座,Grand Yoho 第9座,majorDestination,Grand Yoho 第9座,,,,,,1,true
