label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
K11購物藝術館,K11購物藝術館,artsVenue,K11購物藝術館,,,,,,1,true
中華文化會,中華文化會,artsVenue,中華文化會,,,,,,1,true
九龍城體育館,九龍城體育館,artsVenue,九龍城體育館,,,,,,1,true
九龍城體育館 - 近男洗手間,九龍城體育館 - 近男洗手間,artsVenue,九龍城體育館 - 近男洗手間,,,,,,1,true
九龍灣體育館,九龍灣體育館,artsVenue,九龍灣體育館,,,,,,1,true
伊利沙伯體育館,伊利沙伯體育館,artsVenue,伊利沙伯體育館,,,,,,1,true
坪洲體育館,坪洲體育館,artsVenue,坪洲體育館,,,,,,1,true
大埔墟體育館,大埔墟體育館,artsVenue,大埔墟體育館,,,,,,1,true
大埔墟體育館 - 七樓大堂,大埔墟體育館 - 七樓大堂,artsVenue,大埔墟體育館 - 七樓大堂,,,,,,1,true
大埔體育館 - 一樓大堂,大埔體育館 - 一樓大堂,artsVenue,大埔體育館 - 一樓大堂,,,,,,1,true
大埔體育館 - 地下大堂,大埔體育館 - 地下大堂,artsVenue,大埔體育館 - 地下大堂,,,,,,1,true
天平體育館,天平體育館,artsVenue,天平體育館,,,,,,1,true
富亨體育館,富亨體育館,artsVenue,富亨體育館,,,,,,1,true
富善體育館,富善體育館,artsVenue,富善體育館,,,,,,1,true
恒安體育館,恒安體育館,artsVenue,恒安體育館,,,,,,1,true
摩士公園體育館,摩士公園體育館,artsVenue,摩士公園體育館,,,,,,1,true
Eight College,Eight College,campus,Eight College,,,,,,1,true
Nottingham Children Campus,Nottingham Children Campus,campus,Nottingham Children Campus,,,,,,1,true
St.Stephen's College College House,St.Stephen's College College House,campus,St.Stephen's College College House,,,,,,1,true
中聖書院,中聖書院,campus,中聖書院,,,,,,1,true
前中央書院遺址,前中央書院遺址,campus,前中央書院遺址,,,,,,1,true
博愛醫院 - 香港浸會大學中醫診所暨教研中心(九龍城區),博愛醫院 - 香港浸會大學中醫診所暨教研中心(九龍城區),campus,博愛醫院 - 香港浸會大學中醫診所暨教研中心(九龍城區),,,,,,1,true
博愛醫院-香港浸會大學中醫診所暨教研中心(九龍城區),博愛醫院-香港浸會大學中醫診所暨教研中心(九龍城區),campus,博愛醫院-香港浸會大學中醫診所暨教研中心(九龍城區),,,,,,1,true
博文書院,博文書院,campus,博文書院,,,,,,1,true
善衡校園,善衡校園,campus,善衡校園,,,,,,1,true
善衡校園蒙民偉廣場,善衡校園蒙民偉廣場,campus,善衡校園蒙民偉廣場,,,,,,1,true
善衡校園邵逸夫大樓,善衡校園邵逸夫大樓,campus,善衡校園邵逸夫大樓,,,,,,1,true
嘉諾撒書院,嘉諾撒書院,campus,嘉諾撒書院,,,,,,1,true
培僑書院,培僑書院,campus,培僑書院,,,,,,1,true
基督書院,基督書院,campus,基督書院,,,,,,1,true
天主教新民書院,天主教新民書院,campus,天主教新民書院,,,,,,1,true
康活書院,康活書院,campus,康活書院,,,,,,1,true
恒生管理學院賽馬會宿舍書院,恒生管理學院賽馬會宿舍書院,campus,恒生管理學院賽馬會宿舍書院,,,,,,1,true
恩主教書院,恩主教書院,campus,恩主教書院,,,,,,1,true
救恩書院,救恩書院,campus,救恩書院,,,,,,1,true
明愛陳震夏郊野學園 (聖保祿校園),明愛陳震夏郊野學園 (聖保祿校園),campus,明愛陳震夏郊野學園 (聖保祿校園),,,,,,1,true
明愛陳震夏郊野學園聖保祿校園,明愛陳震夏郊野學園聖保祿校園,campus,明愛陳震夏郊野學園聖保祿校園,,,,,,1,true
中區政府碼頭,中區政府碼頭,governmentOffice,中區政府碼頭,,,,,,1,true
九龍城分區警署,九龍城分區警署,governmentOffice,九龍城分區警署,,,,,,1,true
九龍城政府合署,九龍城政府合署,governmentOffice,九龍城政府合署,,,,,,1,true
九龍城裁判法院,九龍城裁判法院,governmentOffice,九龍城裁判法院,,,,,,1,true
北角分區警署,北角分區警署,governmentOffice,北角分區警署,,,,,,1,true
北角政府合署,北角政府合署,governmentOffice,北角政府合署,,,,,,1,true
區域法院,區域法院,governmentOffice,區域法院,,,,,,1,true
大埔分區警署,大埔分區警署,governmentOffice,大埔分區警署,,,,,,1,true
屯門裁判法院,屯門裁判法院,governmentOffice,屯門裁判法院,,,,,,1,true
山頂分區警署,山頂分區警署,governmentOffice,山頂分區警署,,,,,,1,true
政府物料營運中心,政府物料營運中心,governmentOffice,政府物料營運中心,,,,,,1,true
九龍醫院,九龍醫院,hospital,九龍醫院,,,,,,1,true
仁濟醫院,仁濟醫院,hospital,仁濟醫院,,,,,,1,true
仁濟醫院家庭醫學診所,仁濟醫院家庭醫學診所,hospital,仁濟醫院家庭醫學診所,,,,,,1,true
伊利沙伯醫院,伊利沙伯醫院,hospital,伊利沙伯醫院,,,,,,1,true
北區醫院,北區醫院,hospital,北區醫院,,,,,,1,true
北大嶼山家庭醫學綜合中心 (北大嶼山醫院),北大嶼山家庭醫學綜合中心 (北大嶼山醫院),hospital,北大嶼山家庭醫學綜合中心 (北大嶼山醫院),,,,,,1,true
北大嶼山醫院,北大嶼山醫院,hospital,北大嶼山醫院,,,,,,1,true
博愛醫院,博愛醫院,hospital,博愛醫院,,,,,,1,true
基督教聯合醫院,基督教聯合醫院,hospital,基督教聯合醫院,,,,,,1,true
大口環根德公爵夫人兒童醫院,大口環根德公爵夫人兒童醫院,hospital,大口環根德公爵夫人兒童醫院,,,,,,1,true
大埔醫院,大埔醫院,hospital,大埔醫院,,,,,,1,true
天水圍醫院,天水圍醫院,hospital,天水圍醫院,,,,,,1,true
威爾斯親王醫院,威爾斯親王醫院,hospital,威爾斯親王醫院,,,,,,1,true
將軍澳醫院,將軍澳醫院,hospital,將軍澳醫院,,,,,,1,true
小欖醫院,小欖醫院,hospital,小欖醫院,,,,,,1,true
屯門醫院,屯門醫院,hospital,屯門醫院,,,,,,1,true
廣華醫院,廣華醫院,hospital,廣華醫院,,,,,,1,true
廣華醫院家庭醫學診所,廣華醫院家庭醫學診所,hospital,廣華醫院家庭醫學診所,,,,,,1,true
律敦治醫院,律敦治醫院,hospital,律敦治醫院,,,,,,1,true
明愛醫院,明愛醫院,hospital,明愛醫院,,,,,,1,true
明愛醫院家庭醫學診所,明愛醫院家庭醫學診所,hospital,明愛醫院家庭醫學診所,,,,,,1,true
AKVO HOTEL,AKVO HOTEL,hotel,AKVO HOTEL,,,,,,1,true
E 酒店,E 酒店,hotel,E 酒店,,,,,,1,true
HOTEL 1936,HOTEL 1936,hotel,HOTEL 1936,,,,,,1,true
HOTEL PRAVO,HOTEL PRAVO,hotel,HOTEL PRAVO,,,,,,1,true
HOTEL STAGE,HOTEL STAGE,hotel,HOTEL STAGE,,,,,,1,true
KK HOTEL,KK HOTEL,hotel,KK HOTEL,,,,,,1,true
M1 HOTEL,M1 HOTEL,hotel,M1 HOTEL,,,,,,1,true
METACITY HOTEL,METACITY HOTEL,hotel,METACITY HOTEL,,,,,,1,true
MINI HOTEL,MINI HOTEL,hotel,MINI HOTEL,,,,,,1,true
PRUDENTIAL HOTEL,PRUDENTIAL HOTEL,hotel,PRUDENTIAL HOTEL,,,,,,1,true
STANLEY ORIENTAL HOTEL,STANLEY ORIENTAL HOTEL,hotel,STANLEY ORIENTAL HOTEL,,,,,,1,true
T 酒店,T 酒店,hotel,T 酒店,,,,,,1,true
