label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
益富大廈,益富大廈,officeTower,益富大廈,,,,,,1,true
益美大廈,益美大廈,officeTower,益美大廈,,,,,,1,true
真善美大廈,真善美大廈,officeTower,真善美大廈,,,,,,1,true
碧麗大廈,碧麗大廈,officeTower,碧麗大廈,,,,,,1,true
確研皮膚專科中心,確研皮膚專科中心,officeTower,確研皮膚專科中心,,,,,,1,true
祐華大廈,祐華大廈,officeTower,祐華大廈,,,,,,1,true
禮賢會沙田長者鄰舍中心,禮賢會沙田長者鄰舍中心,officeTower,禮賢會沙田長者鄰舍中心,,,,,,1,true
秀明中心,秀明中心,officeTower,秀明中心,,,,,,1,true
第一城中心 (前稱),第一城中心 (前稱),officeTower,第一城中心 (前稱),,,,,,1,true
粵山大廈 (前稱),粵山大廈 (前稱),officeTower,粵山大廈 (前稱),,,,,,1,true
粵海大廈 (前稱),粵海大廈 (前稱),officeTower,粵海大廈 (前稱),,,,,,1,true
精研微創外科中心,精研微創外科中心,officeTower,精研微創外科中心,,,,,,1,true
經富中心,經富中心,officeTower,經富中心,,,,,,1,true
維新大廈,維新大廈,officeTower,維新大廈,,,,,,1,true
維港灣奧海中心 (前稱),維港灣奧海中心 (前稱),officeTower,維港灣奧海中心 (前稱),,,,,,1,true
置富中心,置富中心,officeTower,置富中心,,,,,,1,true
羅氏美光發展大廈,羅氏美光發展大廈,officeTower,羅氏美光發展大廈,,,,,,1,true
美亞美大廈,美亞美大廈,officeTower,美亞美大廈,,,,,,1,true
美嘉大廈,美嘉大廈,officeTower,美嘉大廈,,,,,,1,true
美新大廈,美新大廈,officeTower,美新大廈,,,,,,1,true
美景大廈,美景大廈,officeTower,美景大廈,,,,,,1,true
美東大廈,美東大廈,officeTower,美東大廈,,,,,,1,true
美美大廈,美美大廈,officeTower,美美大廈,,,,,,1,true
美華大廈,美華大廈,officeTower,美華大廈,,,,,,1,true
美麗大廈,美麗大廈,officeTower,美麗大廈,,,,,,1,true
翠華大廈,翠華大廈,officeTower,翠華大廈,,,,,,1,true
翡翠中心,翡翠中心,officeTower,翡翠中心,,,,,,1,true
耀中大廈,耀中大廈,officeTower,耀中大廈,,,,,,1,true
聯合大廈,聯合大廈,officeTower,聯合大廈,,,,,,1,true
聯美中心,聯美中心,officeTower,聯美中心,,,,,,1,true
臨床大樓1,臨床大樓1,officeTower,臨床大樓1,,,,,,1,true
興中大廈 (前稱),興中大廈 (前稱),officeTower,興中大廈 (前稱),,,,,,1,true
興富中心,興富中心,officeTower,興富中心,,,,,,1,true
興華中心,興華中心,officeTower,興華中心,,,,,,1,true
興華中心 (前稱),興華中心 (前稱),officeTower,興華中心 (前稱),,,,,,1,true
英皇大樓,英皇大樓,officeTower,英皇大樓,,,,,,1,true
英皇鐘錶珠寶中心,英皇鐘錶珠寶中心,officeTower,英皇鐘錶珠寶中心,,,,,,1,true
英皇鐘錶珠寶中心 (前稱),英皇鐘錶珠寶中心 (前稱),officeTower,英皇鐘錶珠寶中心 (前稱),,,,,,1,true
荃灣地區康健中心 - 主中心,荃灣地區康健中心 - 主中心,officeTower,荃灣地區康健中心 - 主中心,,,,,,1,true
荃灣地區康健中心 - 附屬中心 - 荃灣西,荃灣地區康健中心 - 附屬中心 - 荃灣西,officeTower,荃灣地區康健中心 - 附屬中心 - 荃灣西,,,,,,1,true
華富中心 (前稱),華富中心 (前稱),officeTower,華富中心 (前稱),,,,,,1,true
華富長者中心,華富長者中心,officeTower,華富長者中心,,,,,,1,true
華寶中心,華寶中心,officeTower,華寶中心,,,,,,1,true
華寶大廈,華寶大廈,officeTower,華寶大廈,,,,,,1,true
華新大廈,華新大廈,officeTower,華新大廈,,,,,,1,true
華景大廈,華景大廈,officeTower,華景大廈,,,,,,1,true
華海大廈,華海大廈,officeTower,華海大廈,,,,,,1,true
華美大廈,華美大廈,officeTower,華美大廈,,,,,,1,true
華美大廈A座,華美大廈A座,officeTower,華美大廈A座,,,,,,1,true
華美大廈B座,華美大廈B座,officeTower,華美大廈B座,,,,,,1,true
華貴長者日間護理中心 (分址),華貴長者日間護理中心 (分址),officeTower,華貴長者日間護理中心 (分址),,,,,,1,true
華麗大廈,華麗大廈,officeTower,華麗大廈,,,,,,1,true
菲力偉國際健美中心,菲力偉國際健美中心,officeTower,菲力偉國際健美中心,,,,,,1,true
萬寶大廈,萬寶大廈,officeTower,萬寶大廈,,,,,,1,true
萬新大廈,萬新大廈,officeTower,萬新大廈,,,,,,1,true
萬東大廈 (別稱),萬東大廈 (別稱),officeTower,萬東大廈 (別稱),,,,,,1,true
葵富大廈,葵富大廈,officeTower,葵富大廈,,,,,,1,true
