label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
沙角邨A座雲雀樓,沙角邨A座雲雀樓,housingEstate,沙角邨A座雲雀樓,,,,,,1,true
新翠邨新芳樓A,新翠邨新芳樓A,housingEstate,新翠邨新芳樓A,,,,,,1,true
觀龍樓A座天台禮堂,觀龍樓A座天台禮堂,housingEstate,觀龍樓A座天台禮堂,,,,,,1,true
鴨脷洲邨,鴨脷洲邨,housingEstate,鴨脷洲邨,,,,,,1,true
鴨脷洲邨利澤樓,鴨脷洲邨利澤樓,housingEstate,鴨脷洲邨利澤樓,,,,,,1,true
鴨脷洲邨利怡樓-鴨脷洲幼兒中心旁,鴨脷洲邨利怡樓-鴨脷洲幼兒中心旁,housingEstate,鴨脷洲邨利怡樓-鴨脷洲幼兒中心旁,,,,,,1,true
鴨脷洲邨利福樓低座,鴨脷洲邨利福樓低座,housingEstate,鴨脷洲邨利福樓低座,,,,,,1,true
北港坳村公所,北港坳村公所,housingEstate,北港坳村公所,,,,,,1,true
漁光邨海鷗樓,漁光邨海鷗樓,housingEstate,漁光邨海鷗樓,,,,,,1,true
嘉福苑B座,嘉福苑B座,housingEstate,嘉福苑B座,,,,,,1,true
培澤軒B座,培澤軒B座,housingEstate,培澤軒B座,,,,,,1,true
飛鵝花園B座,飛鵝花園B座,housingEstate,飛鵝花園B座,,,,,,1,true
曉華花園B座,曉華花園B座,housingEstate,曉華花園B座,,,,,,1,true
翠怡花園B座,翠怡花園B座,housingEstate,翠怡花園B座,,,,,,1,true
威皇花園B座,威皇花園B座,housingEstate,威皇花園B座,,,,,,1,true
陶苑B座,陶苑B座,housingEstate,陶苑B座,,,,,,1,true
芝蘭苑A-B座,芝蘭苑A-B座,housingEstate,芝蘭苑A-B座,,,,,,1,true
瑩苑B,瑩苑B,housingEstate,瑩苑B,,,,,,1,true
麗苑B,麗苑B,housingEstate,麗苑B,,,,,,1,true
慧苑B,慧苑B,housingEstate,慧苑B,,,,,,1,true
珀苑B,珀苑B,housingEstate,珀苑B,,,,,,1,true
德苑B,德苑B,housingEstate,德苑B,,,,,,1,true
明苑B,明苑B,housingEstate,明苑B,,,,,,1,true
嘉福苑C座,嘉福苑C座,housingEstate,嘉福苑C座,,,,,,1,true
曉華花園C座,曉華花園C座,housingEstate,曉華花園C座,,,,,,1,true
翠怡花園C座,翠怡花園C座,housingEstate,翠怡花園C座,,,,,,1,true
威皇花園C座,威皇花園C座,housingEstate,威皇花園C座,,,,,,1,true
陶苑C座,陶苑C座,housingEstate,陶苑C座,,,,,,1,true
翰林苑C座,翰林苑C座,housingEstate,翰林苑C座,,,,,,1,true
福臨閣C座,福臨閣C座,housingEstate,福臨閣C座,,,,,,1,true
逸苑C座,逸苑C座,housingEstate,逸苑C座,,,,,,1,true
富林花園C座,富林花園C座,housingEstate,富林花園C座,,,,,,1,true
富興花園C座,富興花園C座,housingEstate,富興花園C座,,,,,,1,true
怡翠花園C座,怡翠花園C座,housingEstate,怡翠花園C座,,,,,,1,true
祈德尊新邨C座,祈德尊新邨C座,housingEstate,祈德尊新邨C座,,,,,,1,true
河畔花園C,河畔花園C,housingEstate,河畔花園C,,,,,,1,true
湖景花園C,湖景花園C,housingEstate,湖景花園C,,,,,,1,true
豐林閣C座,豐林閣C座,housingEstate,豐林閣C座,,,,,,1,true
碧浪苑C座,碧浪苑C座,housingEstate,碧浪苑C座,,,,,,1,true
康怡居二期C座,康怡居二期C座,housingEstate,康怡居二期C座,,,,,,1,true
豪苑C座,豪苑C座,housingEstate,豪苑C座,,,,,,1,true
寶苑C座,寶苑C座,housingEstate,寶苑C座,,,,,,1,true
立德台D座,立德台D座,housingEstate,立德台D座,,,,,,1,true
嘉福苑D座,嘉福苑D座,housingEstate,嘉福苑D座,,,,,,1,true
曉華花園D座,曉華花園D座,housingEstate,曉華花園D座,,,,,,1,true
翠怡花園D座,翠怡花園D座,housingEstate,翠怡花園D座,,,,,,1,true
威皇花園D座,威皇花園D座,housingEstate,威皇花園D座,,,,,,1,true
陶苑D座,陶苑D座,housingEstate,陶苑D座,,,,,,1,true
