label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
康怡居二期C座,康怡居二期C座,housingEstate,康怡居二期C座,,,,,,1,true
康怡居二期D座,康怡居二期D座,housingEstate,康怡居二期D座,,,,,,1,true
康怡居二期E座,康怡居二期E座,housingEstate,康怡居二期E座,,,,,,1,true
華富(二)邨,華富(二)邨,housingEstate,華富(二)邨,,,,,,1,true
逸東(二)邨,逸東(二)邨,housingEstate,逸東(二)邨,,,,,,1,true
北角台,北角台,housingEstate,北角台,,,,,,1,true
黃大仙下邨(二區),黃大仙下邨(二區),housingEstate,黃大仙下邨(二區),,,,,,1,true
西貢濤苑17座,西貢濤苑17座,housingEstate,西貢濤苑17座,,,,,,1,true
天悅邨悦華樓,天悅邨悦華樓,housingEstate,天悅邨悦華樓,,,,,,1,true
偉士居,偉士居,housingEstate,偉士居,,,,,,1,true
明雅苑,明雅苑,housingEstate,明雅苑,,,,,,1,true
名士居,名士居,housingEstate,名士居,,,,,,1,true
俊士居,俊士居,housingEstate,俊士居,,,,,,1,true
廁所 (近水泉澳邨),廁所 (近水泉澳邨),housingEstate,廁所 (近水泉澳邨),,,,,,1,true
水泉澳邨,水泉澳邨,housingEstate,水泉澳邨,,,,,,1,true
水泉澳邨2座河泉樓,水泉澳邨2座河泉樓,housingEstate,水泉澳邨2座河泉樓,,,,,,1,true
水泉澳邨7座朗泉樓,水泉澳邨7座朗泉樓,housingEstate,水泉澳邨7座朗泉樓,,,,,,1,true
水泉澳邨18座嶺泉樓,水泉澳邨18座嶺泉樓,housingEstate,水泉澳邨18座嶺泉樓,,,,,,1,true
匡智水泉澳綜合復康中心-泉智軒,匡智水泉澳綜合復康中心-泉智軒,housingEstate,匡智水泉澳綜合復康中心-泉智軒,,,,,,1,true
匡智水泉澳綜合復康中心 - 泉匯軒,匡智水泉澳綜合復康中心 - 泉匯軒,housingEstate,匡智水泉澳綜合復康中心 - 泉匯軒,,,,,,1,true
Wi-Fi.HK 熱點位置: 水泉澳邨,Wi-Fi.HK 熱點位置: 水泉澳邨,housingEstate,Wi-Fi.HK 熱點位置: 水泉澳邨,,,,,,1,true
Wi-Fi.HK 熱點位置: 麥當勞 - 水泉澳邨,Wi-Fi.HK 熱點位置: 麥當勞 - 水泉澳邨,housingEstate,Wi-Fi.HK 熱點位置: 麥當勞 - 水泉澳邨,,,,,,1,true
竹園(南)邨(流動圖書館七),竹園(南)邨(流動圖書館七),housingEstate,竹園(南)邨(流動圖書館七),,,,,,1,true
利東邨,利東邨,housingEstate,利東邨,,,,,,1,true
木苑,木苑,housingEstate,木苑,,,,,,1,true
寶田邨第五座,寶田邨第五座,housingEstate,寶田邨第五座,,,,,,1,true
清河邨,清河邨,housingEstate,清河邨,,,,,,1,true
山景花園別墅,山景花園別墅,housingEstate,山景花園別墅,,,,,,1,true
