label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
康怡居二期C座,康怡居二期C座,housingEstate,康怡居二期C座,,,,,,1,true
康怡居二期D座,康怡居二期D座,housingEstate,康怡居二期D座,,,,,,1,true
康怡居二期E座,康怡居二期E座,housingEstate,康怡居二期E座,,,,,,1,true
華富(二)邨,華富(二)邨,housingEstate,華富(二)邨,,,,,,1,true
逸東(二)邨,逸東(二)邨,housingEstate,逸東(二)邨,,,,,,1,true
北角台,北角台,housingEstate,北角台,,,,,,1,true
黃大仙下邨(二區),黃大仙下邨(二區),housingEstate,黃大仙下邨(二區),,,,,,1,true
天悅邨悦華樓,天悅邨悦華樓,housingEstate,天悅邨悦華樓,,,,,,1,true
偉士居,偉士居,housingEstate,偉士居,,,,,,1,true
名士居,名士居,housingEstate,名士居,,,,,,1,true
俊士居,俊士居,housingEstate,俊士居,,,,,,1,true
葵盛西邨第一座,葵盛西邨第一座,housingEstate,葵盛西邨第一座,,,,,,1,true
葵盛西邨第九座,葵盛西邨第九座,housingEstate,葵盛西邨第九座,,,,,,1,true
聖雅各福群會忻明居,聖雅各福群會忻明居,housingEstate,聖雅各福群會忻明居,,,,,,1,true
仁愛堂香港台山商會長者鄰舍中心,仁愛堂香港台山商會長者鄰舍中心,housingEstate,仁愛堂香港台山商會長者鄰舍中心,,,,,,1,true
中環軒 (前稱),中環軒 (前稱),housingEstate,中環軒 (前稱),,,,,,1,true
翰林軒,翰林軒,housingEstate,翰林軒,,,,,,1,true
蔚晴軒,蔚晴軒,housingEstate,蔚晴軒,,,,,,1,true
寶華軒,寶華軒,housingEstate,寶華軒,,,,,,1,true
翠麗軒,翠麗軒,housingEstate,翠麗軒,,,,,,1,true
金帝軒,金帝軒,housingEstate,金帝軒,,,,,,1,true
翰庭軒,翰庭軒,housingEstate,翰庭軒,,,,,,1,true
高陞軒,高陞軒,housingEstate,高陞軒,,,,,,1,true
兆和軒,兆和軒,housingEstate,兆和軒,,,,,,1,true
嘉倫軒,嘉倫軒,housingEstate,嘉倫軒,,,,,,1,true
半山英輝臺3號蔚晴軒 1樓健身室,半山英輝臺3號蔚晴軒 1樓健身室,housingEstate,半山英輝臺3號蔚晴軒 1樓健身室,,,,,,1,true
寶軒 (別稱),寶軒 (別稱),housingEstate,寶軒 (別稱),,,,,,1,true
詠豪軒 (前稱),詠豪軒 (前稱),housingEstate,詠豪軒 (前稱),,,,,,1,true
尖沙咀東海濱平台花園 - 近電梯，近小食亭,尖沙咀東海濱平台花園 - 近電梯，近小食亭,housingEstate,尖沙咀東海濱平台花園 - 近電梯，近小食亭,,,,,,1,true
悠逸軒,悠逸軒,housingEstate,悠逸軒,,,,,,1,true
珀軒旅館 ‧ 旺角,珀軒旅館 ‧ 旺角,housingEstate,珀軒旅館 ‧ 旺角,,,,,,1,true
