label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
康怡居二期C座,康怡居二期C座,housingEstate,康怡居二期C座,,,,,,1,true
康怡居二期D座,康怡居二期D座,housingEstate,康怡居二期D座,,,,,,1,true
康怡居二期E座,康怡居二期E座,housingEstate,康怡居二期E座,,,,,,1,true
華富(二)邨,華富(二)邨,housingEstate,華富(二)邨,,,,,,1,true
逸東(二)邨,逸東(二)邨,housingEstate,逸東(二)邨,,,,,,1,true
常樂邨物業服務辦事處,常樂邨物業服務辦事處,housingEstate,常樂邨物業服務辦事處,,,,,,1,true
北角台,北角台,housingEstate,北角台,,,,,,1,true
黃大仙下邨(二區),黃大仙下邨(二區),housingEstate,黃大仙下邨(二區),,,,,,1,true
天悅邨悦華樓,天悅邨悦華樓,housingEstate,天悅邨悦華樓,,,,,,1,true
偉士居,偉士居,housingEstate,偉士居,,,,,,1,true
名士居,名士居,housingEstate,名士居,,,,,,1,true
俊士居,俊士居,housingEstate,俊士居,,,,,,1,true
葵盛西邨第一座,葵盛西邨第一座,housingEstate,葵盛西邨第一座,,,,,,1,true
葵盛西邨第九座,葵盛西邨第九座,housingEstate,葵盛西邨第九座,,,,,,1,true
維港軒,維港軒,housingEstate,維港軒,,,,,,1,true
Wi-Fi.HK 熱點位置: 北角海濱花園,Wi-Fi.HK 熱點位置: 北角海濱花園,housingEstate,Wi-Fi.HK 熱點位置: 北角海濱花園,,,,,,1,true
香港藥舍 (炮台山),香港藥舍 (炮台山),housingEstate,香港藥舍 (炮台山),,,,,,1,true
葉定仕故居,葉定仕故居,housingEstate,葉定仕故居,,,,,,1,true
南固臺,南固臺,housingEstate,南固臺,,,,,,1,true
般咸軒,般咸軒,housingEstate,般咸軒,,,,,,1,true
Largos Residences,Largos Residences,housingEstate,Largos Residences,,,,,,1,true
品柔居,品柔居,housingEstate,品柔居,,,,,,1,true
HOMY RESIDENCE,HOMY RESIDENCE,housingEstate,HOMY RESIDENCE,,,,,,1,true
NATHAN RESIDENCES,NATHAN RESIDENCES,housingEstate,NATHAN RESIDENCES,,,,,,1,true
樂悠居復康中心,樂悠居復康中心,housingEstate,樂悠居復康中心,,,,,,1,true
OK便利店-白田邨,OK便利店-白田邨,housingEstate,OK便利店-白田邨,,,,,,1,true
觀塘花園大厦第三座,觀塘花園大厦第三座,housingEstate,觀塘花園大厦第三座,,,,,,1,true
觀塘花園大厦第一，二座,觀塘花園大厦第一，二座,housingEstate,觀塘花園大厦第一，二座,,,,,,1,true
觀塘花園大厦百靈樓,觀塘花園大厦百靈樓,housingEstate,觀塘花園大厦百靈樓,,,,,,1,true
觀塘花園大廈孔雀樓,觀塘花園大廈孔雀樓,housingEstate,觀塘花園大廈孔雀樓,,,,,,1,true
觀塘花園大廈畫眉樓,觀塘花園大廈畫眉樓,housingEstate,觀塘花園大廈畫眉樓,,,,,,1,true
