label,query,subcategory,exact_name,name_contains,district,aliases_en,aliases_zh,append_to,limit,enabled
中環８號碼頭,中環８號碼頭,majorDestination,中環８號碼頭,,,,,,1,true
丰滙第一座,丰滙第一座,majorDestination,丰滙第一座,,,,,,1,true
丰滙第三座,丰滙第三座,majorDestination,丰滙第三座,,,,,,1,true
丰滙第二座,丰滙第二座,majorDestination,丰滙第二座,,,,,,1,true
主場館停車場,主場館停車場,majorDestination,主場館停車場,,,,,,1,true
九如坊北,九如坊北,majorDestination,九如坊北,,,,,,1,true
九如坊西,九如坊西,majorDestination,九如坊西,,,,,,1,true
二澳農作社,二澳農作社,majorDestination,二澳農作社,,,,,,1,true
二號屋,二號屋,majorDestination,二號屋,,,,,,1,true
二號貨櫃碼頭,二號貨櫃碼頭,majorDestination,二號貨櫃碼頭,,,,,,1,true
五號屋,五號屋,majorDestination,五號屋,,,,,,1,true
五號貨櫃碼頭,五號貨櫃碼頭,majorDestination,五號貨櫃碼頭,,,,,,1,true
亮點,亮點,majorDestination,亮點,,,,,,1,true
伸手助人協會維拉荻茜麗瑤護老院,伸手助人協會維拉荻茜麗瑤護老院,majorDestination,伸手助人協會維拉荻茜麗瑤護老院,,,,,,1,true
低碳關懷標籤,低碳關懷標籤,majorDestination,低碳關懷標籤,,,,,,1,true
倚巒第八號屋,倚巒第八號屋,majorDestination,倚巒第八號屋,,,,,,1,true
偉賢薈六座,偉賢薈六座,majorDestination,偉賢薈六座,,,,,,1,true
傳心社,傳心社,majorDestination,傳心社,,,,,,1,true
八號貨櫃碼頭,八號貨櫃碼頭,majorDestination,八號貨櫃碼頭,,,,,,1,true
六號屋,六號屋,majorDestination,六號屋,,,,,,1,true
六號貨櫃碼頭,六號貨櫃碼頭,majorDestination,六號貨櫃碼頭,,,,,,1,true
再來旅社,再來旅社,majorDestination,再來旅社,,,,,,1,true
再生玩具店,再生玩具店,majorDestination,再生玩具店,,,,,,1,true
創紀之城五期,創紀之城五期,majorDestination,創紀之城五期,,,,,,1,true
創紀之城六期,創紀之城六期,majorDestination,創紀之城六期,,,,,,1,true
創藝館,創藝館,majorDestination,創藝館,,,,,,1,true
加多利園10,加多利園10,majorDestination,加多利園10,,,,,,1,true
動物社企,動物社企,majorDestination,動物社企,,,,,,1,true
北角配水庫遊樂場,北角配水庫遊樂場,majorDestination,北角配水庫遊樂場,,,,,,1,true
匯駿山莊N座,匯駿山莊N座,majorDestination,匯駿山莊N座,,,,,,1,true
匯駿山莊Q座,匯駿山莊Q座,majorDestination,匯駿山莊Q座,,,,,,1,true
千色-將軍澳店,千色-將軍澳店,majorDestination,千色-將軍澳店,,,,,,1,true
半山捌號,半山捌號,majorDestination,半山捌號,,,,,,1,true
半春園應變控制室,半春園應變控制室,majorDestination,半春園應變控制室,,,,,,1,true
南灣第十座,南灣第十座,majorDestination,南灣第十座,,,,,,1,true
原治集團有限公司,原治集團有限公司,majorDestination,原治集團有限公司,,,,,,1,true
和悅會(將軍澳),和悅會(將軍澳),majorDestination,和悅會(將軍澳),,,,,,1,true
啟德‧東寓,啟德‧東寓,majorDestination,啟德‧東寓,,,,,,1,true
啟德主場館,啟德主場館,majorDestination,啟德主場館,,,,,,1,true
啟德零售館１,啟德零售館１,majorDestination,啟德零售館１,,,,,,1,true
啟德零售館２,啟德零售館２,majorDestination,啟德零售館２,,,,,,1,true
啟德零售館３,啟德零售館３,majorDestination,啟德零售館３,,,,,,1,true
喜靈洲職員宿舍N座,喜靈洲職員宿舍N座,majorDestination,喜靈洲職員宿舍N座,,,,,,1,true
喜靈洲職員宿舍Q座,喜靈洲職員宿舍Q座,majorDestination,喜靈洲職員宿舍Q座,,,,,,1,true
喜靈洲職員宿舍R座,喜靈洲職員宿舍R座,majorDestination,喜靈洲職員宿舍R座,,,,,,1,true
喜靈洲職員宿舍T座,喜靈洲職員宿舍T座,majorDestination,喜靈洲職員宿舍T座,,,,,,1,true
嘉熙第10座,嘉熙第10座,majorDestination,嘉熙第10座,,,,,,1,true
回收機構及收集點： CSL 專門店,回收機構及收集點： CSL 專門店,majorDestination,回收機構及收集點： CSL 專門店,,,,,,1,true
回收機構及收集點： 零碳天地,回收機構及收集點： 零碳天地,majorDestination,回收機構及收集點： 零碳天地,,,,,,1,true
地底海水泵房,地底海水泵房,majorDestination,地底海水泵房,,,,,,1,true
城巴將軍澳車廠,城巴將軍澳車廠,majorDestination,城巴將軍澳車廠,,,,,,1,true
大埔派遞局,大埔派遞局,majorDestination,大埔派遞局,,,,,,1,true
大埔舊墟遊樂場,大埔舊墟遊樂場,majorDestination,大埔舊墟遊樂場,,,,,,1,true
大埔運動場,大埔運動場,majorDestination,大埔運動場,,,,,,1,true
